07/31/26 10:58:27,Start Time:,1785466707.7,Duration:,10,Time Precision:,4,Time Adjustment:,0,Target Size:,100

Time Offset,AVDD_I,AVDD_P,AVDD_V,CAM_AFVDD2_2V8_I,CAM_AFVDD2_2V8_P,CAM_AFVDD2_2V8_V,CH15_SPM_I,CH15_SPM_P,CH15_SPM_V,CH23_SPM_I,CH23_SPM_P,CH23_SPM_V,ELVDD_I,ELVDD_P,ELVDD_V,EMI_VDD1_DDR_I,EMI_VDD1_DDR_P,EMI_VDD1_DDR_V,EMI_VDD2H_DDR_I,EMI_VDD2H_DDR_P,EMI_VDD2H_DDR_V,EMI_VDD2L_DDR_I,EMI_VDD2L_DDR_P,EMI_VDD2L_DDR_V,EMI_VDDQ_DDR_I,EMI_VDDQ_DDR_P,EMI_VDDQ_DDR_V,FCAM_AVDD_2P8_I,FCAM_AVDD_2P8_P,FCAM_AVDD_2P8_V,FCAM_DVDD_1P05_I,FCAM_DVDD_1P05_P,FCAM_DVDD_1P05_V,FCAM_VCAMIO_I,FCAM_VCAMIO_P,FCAM_VCAMIO_V,MCAM_AVDD_2P8_I,MCAM_AVDD_2P8_P,MCAM_AVDD_2P8_V,MCAM_DVDD_1V1_I,MCAM_DVDD_1V1_P,MCAM_DVDD_1V1_V,OLED_DVDD_I,OLED_DVDD_P,OLED_DVDD_V,OLED_VCI_I,OLED_VCI_P,OLED_VCI_V,OLED_VDDI_I,OLED_VDDI_P,OLED_VDDI_V,SAR_VDD_1P8_I,SAR_VDD_1P8_P,SAR_VDD_1P8_V,System Messages,,TSP_IO_CON_I,TSP_IO_CON_P,TSP_IO_CON_V,UFS_VCC_2V5_UFS_I,UFS_VCC_2V5_UFS_P,UFS_VCC_2V5_UFS_V,VBB1_BOB_I,VBB1_BOB_P,VBB1_BOB_V,VCAMIO_I,VCAMIO_P,VCAMIO_V,VCAMIO_WIDE_I,VCAMIO_WIDE_P,VCAMIO_WIDE_V,VIO18_PMU_6319_I,VIO18_PMU_6319_P,VIO18_PMU_6319_V,VIO18_PMU_6685_I,VIO18_PMU_6685_P,VIO18_PMU_6685_V,VIO18_PMU_A_G_I,VIO18_PMU_A_G_P,VIO18_PMU_A_G_V,VIO18_PMU_FLICKER_I,VIO18_PMU_FLICKER_P,VIO18_PMU_FLICKER_V,VIO18_PMU_HAC_I,VIO18_PMU_HAC_P,VIO18_PMU_HAC_V,VIO18_PMU_M_I,VIO18_PMU_M_P,VIO18_PMU_M_V,VIO18_PMU_PL_I,VIO18_PMU_PL_P,VIO18_PMU_PL_V,VIO18_PMU_REV_I,VIO18_PMU_REV_P,VIO18_PMU_REV_V,VIO18_PMU_SPK_I,VIO18_PMU_SPK_P,VIO18_PMU_SPK_V,VLEDA_PL_I,VLEDA_PL_P,VLEDA_PL_V,VSYS_6685_I,VSYS_6685_P,VSYS_6685_V,VSYS_AVDD_I,VSYS_AVDD_P,VSYS_AVDD_V,VSYS_CHG_I,VSYS_CHG_P,VSYS_CHG_V,VSYS_DVE_I,VSYS_DVE_P,VSYS_DVE_V,VSYS_ELVDD_I,VSYS_ELVDD_P,VSYS_ELVDD_V,VSYS_FLASH_I,VSYS_FLASH_P,VSYS_FLASH_V,VSYS_HAC_I,VSYS_HAC_P,VSYS_HAC_V,VSYS_PVIN_I,VSYS_PVIN_P,VSYS_PVIN_V,VSYS_REV_I,VSYS_REV_P,VSYS_REV_V,VSYS_SPK_I,VSYS_SPK_P,VSYS_SPK_V,VSYS_VIB_I,VSYS_VIB_P,VSYS_VIB_V,VTP_PMU_I,VTP_PMU_P,VTP_PMU_V,VUFS12_PMU_I,VUFS12_PMU_P,VUFS12_PMU_V,WCAM_AVDD_2P8_I,WCAM_AVDD_2P8_P,WCAM_AVDD_2P8_V,WIDE_DVDD_1P2_I,WIDE_DVDD_1P2_P,WIDE_DVDD_1P2_V
4.572,15.2825,112.9912,7393.5,-0.025,-0.0001,2.5,0.0025,0,1.625,0,0,1,8.075,37.1379,4599.125,2.05,3.6979,1803.875,9.84,10.3874,1055.625,3.6,3.3228,923,1.15,0.5828,506.75,-0.0025,-0,1.125,0.005,0,0.875,-0.0175,-0.0319,1821.5,-0.01,-0,0.75,-0.5,-0.0006,1.25,53.335,69.3355,1300,0.035,0.1038,2966.875,7.755,13.9377,1797.25,-0.0225,-0.0409,1817.125,,,0.845,1.5217,1800.875,-0.0225,-0,1.125,5.65,19.8308,3509.875,0.0075,0.0136,1818.5,0.0175,0.0319,1821.75,10799.9,19055.0736,1764.375,3.1,5.637,1818.375,0.225,0.4095,1820,0.0225,0.0409,1818.5,-0.15,-0.2732,1821,692.41,1209.8134,1747.25,0.165,0.3,1818.25,0.0225,0.0409,1817.5,-0.2,-0.3636,1818,0.0475,0.1562,3288.375,2.6,10.2752,3952,28.905,114.0808,3946.75,116.8,461.8126,3953.875,0.8925,3.5248,3949.375,10.7575,42.4746,3948.375,-0.015,-0.0592,3947.75,0.7,2.765,3950,2.9875,11.8014,3950.25,0.45,1.7778,3950.75,0.6,2.3709,3951.5,0.0475,0.1874,3945.5,0.2275,0.7513,3302.625,0.3125,0.3769,1206,-0.0375,-0.0001,1.625,0.01,0,1
4.668,14.6725,108.461,7392.125,0.0275,0,1,-0.0075,-0,3.375,-0.0575,-0.0001,1.375,8.045,36.9889,4597.75,1.895,3.4157,1802.5,7.7975,8.2117,1053.125,2.85,2.6273,921.875,1.15,0.5838,507.625,-0.015,-0,1.375,0,0,3.375,0.0175,0.0319,1821.25,0.0275,0,0.75,0.15,0.0001,1,53.02,68.8465,1298.5,0.07,0.2077,2967.25,7.7175,13.8857,1799.25,0.0375,0.0681,1815,,,0.615,1.1075,1800.875,-0.005,-0,0.875,4.9,17.2039,3511,0.0175,0.0318,1820,0.0275,0.0501,1822.125,10800.2,19027.2524,1761.75,1.9,3.4549,1818.375,0.17,0.3094,1819.875,0.0375,0.0682,1817.875,-0.05,-0.0909,1818.375,692.0425,1209.6038,1747.875,0.14,0.2548,1820.25,0.005,0.0091,1818.5,0.55,1,1818.25,4.8,15.8334,3298.625,0.8,3.159,3948.75,29.2175,115.3543,3948.125,109.05,430.8974,3951.375,0.8675,3.4268,3950.25,10.8325,42.7884,3950,0.035,0.1382,3948.5,0.2,0.7897,3948.75,3.1225,12.3366,3950.875,0.35,1.3836,3953.125,0.5,1.9755,3951,0.06,0.2367,3944.25,0.225,0.7428,3301.5,0.385,0.4645,1206.375,-0.0175,-0,1.25,-0.0275,-0,1.5
4.764,12.6775,93.7374,7394,-0.03,-0,0.625,-0.035,-0.0001,2,0.005,0,2.875,8.0975,37.2364,4598.5,1.93,3.4805,1803.375,5.0725,5.354,1055.5,4,3.685,921.25,2,1.013,506.5,-0.015,-0,1.875,0.0275,0,1.375,0.0175,0.0319,1821.625,-0.015,-0,0.875,-0.65,-0.0008,1.25,45.725,59.4939,1301.125,0.0575,0.1706,2966.875,6.8975,12.3827,1795.25,0.0325,0.0591,1817.125,,,1.2625,2.2734,1800.75,-0.0125,-0,0.25,5.65,19.8223,3508.375,0.05,0.0909,1817.625,0.015,0.0273,1821.75,10800.2,19047.5027,1763.625,2.75,5.0009,1818.5,0.1725,0.3139,1819.5,-0.0075,-0.0136,1819,-0.35,-0.6374,1821.25,691.785,1210.1914,1749.375,0.1975,0.3593,1819.125,0.0075,0.0137,1821,0.95,1.727,1817.875,0.0475,0.1567,3299.875,0.55,2.1728,3950.5,26.2275,103.5199,3947,114.45,452.1204,3950.375,0.9075,3.5843,3949.625,10.9,43.0441,3949,0.125,0.4937,3949.25,0.25,0.9878,3951.375,2.785,11.0014,3950.25,-0.6,-2.3726,3954.375,0.25,0.9879,3951.625,0.095,0.3752,3949.25,0.3075,1.0153,3301.875,0.28,0.3377,1206,-0.005,-0,0.5,-0.02,-0,1
4.86,14.78,109.2944,7394.75,-0.02,-0,1.25,0.01,0,2.25,0,0,1.375,8.06,37.0659,4598.75,1.7725,3.1927,1801.25,10.95,11.5591,1055.625,2.1,1.9378,922.75,1.75,0.884,505.125,0.02,0,1.375,0.01,0,1.75,-0.0175,-0.0319,1822.125,-0.0475,-0.0001,2,-0.15,-0.0001,1,53.735,69.8286,1299.5,0.1075,0.3191,2968.25,7.73,13.8879,1796.625,0.055,0.0999,1816.75,,,2.03,3.6565,1801.25,-0.0025,-0,2.25,6.35,22.2718,3507.375,0.0425,0.0772,1817.125,-0.0125,-0.0228,1820.25,10797.6,19041.5676,1763.5,2.35,4.2744,1818.875,0.1625,0.2956,1818.875,-0.0025,-0.0045,1817,-0.6,-1.093,1821.625,692.87,1210.3573,1746.875,0.1825,0.3318,1818.125,0.0175,0.0319,1820.125,0,0,1817,0.035,0.1155,3299.125,0.55,2.171,3947.25,29.37,115.905,3946.375,108.65,429.3305,3951.5,0.8975,3.544,3948.75,10.7725,42.5204,3947.125,0.06,0.2369,3948.375,0.1,0.3949,3949,2.535,10.011,3949.125,0.1,0.3951,3950.5,0.9,3.5547,3949.625,0.09,0.3551,3945,2.825,9.3271,3301.625,0.325,0.3919,1206,-0.01,-0,2,-0.0125,-0,0.5
4.956,14.78,,7395.25,0,,1.125,-0.055,,1.875,-0.0575,,0.25,8.0325,,4600,2.155,,1802.75,8.8025,,1054.125,3.2,,924.375,1.55,,506.625,-0.0225,,0.5,0.0125,,0.5,-0.0075,,1821.125,-0.0125,,1,0.6,,0.5,52.335,,1297.875,0.04,,2968.25,7.68,,1795.625,-0.0025,,1818.375,,,1.805,,1799.625,-0.015,,1.25,11.95,,3505.625,0.01,,1818.75,0.005,,1820.625,10799.15,,1763,2.25,,1818.25,0.2025,,1821.25,0.0475,,1817.875,1.15,,1820.75,692.5175,,1748.5,0.125,,1819,0.0075,,1819.5,0.3,,1818.625,0.0575,,3298.875,1.95,,3944.75,30.185,,3945.5,133.45,,3947.125,0.93,,3948.125,10.845,,3944.125,0.065,,3947,-0.4,,3945.125,2.755,,3946.625,0.2,,3945,0.4,,3943.875,0.105,,3944.375,2.9475,,3303.375,0.3175,,1207.5,-0.005,,2.125,-0.005,,1.125
5.052,15.0625,,7395.875,0.0225,,0.75,-0.005,,1.25,-0.01,,1.375,8.0325,,4601.25,2.0975,,1802.875,8.6975,,1053.875,4.15,,923.875,1.8,,506.625,-0.015,,1,0.0175,,2.625,0,,1820.375,-0.035,,1.75,0.3,,1.375,57.14,,1299.125,0.085,,2968,8.535,,1796.125,0.0075,,1817.5,,,0.6925,,1799,0.01,,0.75,5.5,,3507.75,0.05,,1818.5,0.01,,1820.75,10797.95,,1764.25,1.6,,1820,0.17,,1818.625,0.0325,,1817.375,-0.45,,1819.125,692.1575,,1746.375,0.1775,,1819.75,0,,1821,0.4,,1819.125,0.0525,,3300.875,0.7,,3949.5,29.83,,3946.875,117.05,,3952.625,0.855,,3950.75,10.7425,,3948.875,0.005,,3947.375,-0.2,,3947.625,3.1375,,3949.25,0.25,,3950.875,1.45,,3948,0.0425,,3946.875,0.2075,,3302.75,0.2925,,1205.75,0.01,,1.25,-0.015,,1.75
5.148,14.12,104.3874,7392.875,0.03,0,0.25,-0.03,-0,1.5,-0.015,-0,2,8.0675,37.0934,4597.875,1.7725,3.1963,1803.25,9.4175,9.9449,1056,2.65,2.44,920.75,1.8,0.9103,505.75,0.0225,0.0001,2.25,0.01,0,2.25,0.01,0.0182,1821.75,0.0425,0,0.75,0.05,0.0001,1.625,51.2775,66.5518,1297.875,0.0425,0.1261,2966.125,7.7225,13.8686,1795.875,0,0,1817.625,,,0.7325,1.318,1799.375,0,0,0.75,6.05,21.2347,3509.875,0.0225,0.0409,1818.625,-0.005,-0.0091,1822.75,10797.9,19040.7469,1763.375,1.65,2.9991,1817.625,0.1675,0.3048,1819.625,0.0425,0.0772,1815.75,0.1,0.1819,1819,692.0725,1209.3967,1747.5,0.09,0.1638,1819.875,0.0175,0.0318,1818.625,0.45,0.8184,1818.75,0.0175,0.0576,3293.5,-0.25,-0.9882,3953,25.4225,100.3966,3949.125,113.9,450.1613,3952.25,0.8225,3.2499,3951.25,10.8075,42.7153,3952.375,0.05,0.1975,3949.25,-0.25,-0.9882,3953,3.3525,13.2487,3951.875,0.4,1.5813,3953.125,0.25,0.9878,3951,0.0625,0.2467,3947.375,0.2475,0.8175,3302.875,0.2375,0.2863,1205.375,0.005,0,2.25,0.0175,0,0.5
5.244,13.6225,100.718,7393.5,-0.0025,-0,1.125,0,0,1.75,-0.0525,-0.0001,1.125,8.1175,37.3435,4600.375,2.0275,3.6551,1802.75,8.555,9.0148,1053.75,3.85,3.5516,922.5,1.9,0.9638,507.25,0.0075,0,1.25,0.015,0,1.25,-0.02,-0.0364,1822,-0.005,-0,2.125,0.2,0.0002,1,46.2075,60.1044,1300.75,0.0725,0.2152,2968.5,6.89,12.3865,1797.75,0.0075,0.0136,1817.625,,,0.41,0.738,1800,0.005,0,2,4.9,17.2033,3510.875,0.0225,0.0409,1817.75,-0.01,-0.0182,1822,10799.55,19050.4062,1764,2.5,4.5494,1819.75,0.1575,0.2866,1819.625,0.0275,0.05,1818.25,0.15,0.2731,1820.75,691.8125,1208.51,1746.875,0.215,0.3913,1820,0.0025,0.0046,1820.25,0.45,0.8184,1818.75,0.035,0.1154,3297.375,1.1,4.3446,3949.625,28.98,114.3768,3946.75,115.75,457.3283,3951,0.855,3.3767,3949.375,10.77,42.5159,3947.625,0.0775,0.3062,3951.125,-0.6,-2.368,3946.75,2.8025,11.0699,3950,0.25,0.9874,3949.75,0.45,1.7776,3950.125,0.065,0.2568,3951,0.295,0.9741,3302.125,0.2725,0.3284,1205.125,0.0175,0,2.5,-0.0025,-0,0.75
5.34,14.7025,108.7011,7393.375,-0.0025,-0,1.25,-0.0525,-0.0001,2,-0.025,-0,1.75,8.0075,36.8225,4598.5,1.8225,3.2885,1804.375,10.2075,10.7498,1053.125,2.25,2.0692,919.625,1.65,0.8333,505,-0.02,-0,0.75,-0,-0,0.875,0.01,0.0182,1821.625,0.0275,0,1.125,-0.2,-0.0002,0.875,50.73,65.8222,1297.5,0.115,0.3413,2967.875,7.685,13.809,1796.875,0.0025,0.0045,1816.625,,,4.1375,7.4532,1801.375,0.055,0,0.5,7.2,25.2477,3506.625,0.015,0.0273,1818.625,0.0575,0.1048,1822.125,10798.85,19047.8215,1763.875,2.55,4.6391,1819.25,0.16,0.2908,1817.75,0.025,0.0455,1818.125,-0.35,-0.6374,1821.25,692.4725,1210.4419,1748,0.2125,0.3867,1819.625,0.0175,0.0318,1819.75,0.5,0.9083,1816.625,0.035,0.1155,3301,1.05,4.1483,3950.75,29.5225,116.4995,3946.125,113.7,449.1576,3950.375,0.8325,3.2892,3951,10.9225,43.1097,3946.875,0.0325,0.1283,3946.75,0.6,2.3699,3949.875,2.7975,11.0501,3950,0.05,0.1974,3947.75,0,0,3948.75,0.0725,0.2861,3945.875,2.495,8.2441,3304.25,0.345,0.4157,1205,0.015,0,2.375,0.0175,0,2.25
5.436,15.4575,114.2734,7392.75,0.0075,0,0.75,-0.04,-0,0.75,-0.04,-0,0.875,8.045,36.9889,4597.75,2.2975,4.1415,1802.625,6.895,7.2613,1053.125,4.75,4.3783,921.75,1.55,0.7847,506.25,-0.0125,-0,1.625,-0.0025,-0,1.375,0.0075,0.0137,1820.25,-0.02,-0,0.5,-0.05,-0.0001,1,53.7875,69.9237,1300,0.075,0.2226,2968.375,7.695,13.8327,1797.625,0.0275,0.0499,1815.5,,,1.15,2.0733,1802.875,-0.03,-0,0.75,3.25,11.4128,3511.625,0.0475,0.0864,1819.25,0.0375,0.0683,1822.375,10799.2,19047.089,1763.75,1.15,2.0939,1820.75,0.2075,0.3771,1817.375,0.035,0.0636,1818,-0.65,-1.1842,1821.875,691.85,1208.7484,1747.125,0.0675,0.1229,1820.625,0.0125,0.0227,1819.875,0.1,0.1817,1816.875,0.02,0.066,3300.5,0.8,3.156,3945,30.2625,119.4045,3945.625,123.7,488.3521,3947.875,0.8875,3.5032,3947.25,10.8675,42.8736,3945.125,0.04,0.1579,3948.125,-0.45,-1.7761,3946.875,3.0225,11.9275,3946.25,0.45,1.7762,3947,0.3,1.1839,3946.25,0.0175,0.0691,3949,0.2975,0.9828,3303.5,0.2975,0.3582,1204,0.0375,0,1.25,-0.0475,-0.0001,1.75
5.532,14.9175,,7394.625,0.015,,2.25,0.005,,1.625,-0.005,,2.25,7.9925,,4599.875,2.1875,,1802.875,8.505,,1053.125,3.05,,922.125,0.8,,506.5,0,,1.375,-0.0525,,1.375,0.0125,,1822,0.02,,1.5,-0.3,,1.375,52.7075,,1299,0.0925,,2965.5,7.7025,,1795.625,0.0475,,1818.375,,,0.72,,1801.125,-0.005,,1270,5.65,,3506.5,0.0275,,1818.5,0.05,,1821.25,10798.1,,1763.25,2.75,,1818.75,0.175,,1818.625,0.0475,,1818.25,-0.3,,1819.75,692.2725,,1749.125,0.205,,1820.5,0.005,,1821.75,0,,1818,0.035,,3298.375,1.35,,3933.375,29.8325,,3934.375,137.6,,3940.125,0.895,,3937.5,10.9625,,3937.375,0.02,,3936.25,0.15,,3935.625,2.7325,,3937.375,-0.35,,3939.25,0,,3936.375,0.1,,3934.75,0.22,,3303.75,22.6775,,1203.25,0.0175,,1.375,-0.01,,2
5.628,12.6775,93.7517,7395.125,0.0225,0,1.125,-0.0025,-0,2,-0.02,-0,1.625,8.0375,36.9594,4598.375,1.9975,3.6017,1803.125,7.7325,8.1423,1053,4.05,3.7306,921.125,1.4,0.7096,506.875,0.0075,0,0.5,0.01,0,0.25,-0.005,-0.0091,1821.625,-0.005,-0,2,0.2,0.0004,1.75,52.24,67.9316,1300.375,0.08,0.2375,2968.5,6.9025,12.4055,1797.25,0.0125,0.0227,1817.25,,,0.7525,1.3556,1801.5,0.05,0.1265,2530.75,6.15,21.5819,3509.25,0.045,0.0818,1817.625,0.015,0.0273,1820,10799.55,19053.1061,1764.25,2.85,5.1838,1818.875,0.2075,0.3775,1819.125,0.0375,0.0682,1818.375,-0.1,-0.1821,1820.625,692.3775,1209.4969,1746.875,0.1275,0.2318,1817.75,-0.0125,-0.0228,1821,0.7,1.2736,1819.5,0.03,0.0988,3291.75,0.6,2.3697,3949.5,25.52,100.804,3950,114.8,453.5748,3951,0.83,3.2792,3950.875,10.85,42.8589,3950.125,0.005,0.0198,3950.875,-0.2,-0.7907,3953.75,3.01,11.8951,3951.875,0.65,2.5686,3951.625,0.95,3.7545,3952.125,0.03,0.1185,3948.5,0.2575,0.8506,3303.125,0.3675,0.4409,1199.625,0.01,0,0.75,-0.0025,-0,0.875
5.724,14.8725,109.9617,7393.625,0.005,0,0.5,-0.0175,-0,0.875,-0.005,-0,2.125,8.0525,37.0204,4597.375,2.1175,3.8171,1802.625,6.65,7.0116,1054.375,2.9,2.6778,923.375,0.95,0.4818,507.125,0.03,0,1,-0.0175,-0,1.125,-0.005,-0.0091,1822.25,-0.0125,-0,1.5,0.6,0.0022,3.625,50.095,64.9795,1297.125,0.0825,0.2448,2967.375,7.75,13.9374,1798.375,0.0275,0.05,1819.125,,,1.4625,2.6354,1802,0.315,0.7992,2537.125,4.45,15.6178,3509.625,0.0175,0.0318,1818.5,0.0275,0.0501,1820.875,10800.2,19029.9524,1762,1.4,2.5464,1818.875,0.17,0.3093,1819.625,0.0175,0.0318,1818.375,-0.85,-1.5466,1819.5,692.315,1210.3397,1748.25,0.095,0.1729,1820.5,-0.0075,-0.0137,1821.5,1.2,2.1829,1819.125,0.0025,0.0083,3302.75,0.55,2.1728,3950.5,29.7975,117.6703,3949,106.95,422.7867,3953.125,0.88,3.4757,3949.625,10.8175,42.7291,3950,0.115,0.4543,3950.75,0.1,0.3948,3948.25,2.9125,11.5044,3950,0.4,1.5822,3955.375,0.6,2.371,3951.75,0.105,0.4148,3950.5,0.25,0.8255,3302.125,0.3775,0.4536,1201.625,0.0175,0,1.5,-0.0275,-0,1
5.82,14.6675,108.4698,7395.25,-0.0275,-0,0.25,-0.06,-0.0001,1.75,-0.0225,-0,0.5,8.055,37.058,4600.625,1.7575,3.1697,1803.5,10.895,11.482,1053.875,2.3,2.1177,920.75,1.45,0.7333,505.75,0.01,0,1,-0.0275,-0,1.375,0.0075,0.0137,1821.125,-0.0175,-0,1,0.15,0,0.25,51.4975,66.8502,1298.125,0.0625,0.1855,2968.625,7.705,13.8449,1796.875,0.005,0.0091,1817.75,,,4.8225,8.6865,1801.25,0.15,0.3804,2535.875,6.25,21.9289,3508.625,0.0275,0.05,1819.375,0.005,0.0091,1821.75,10799.3,19041.8657,1763.25,1.75,3.185,1820,0.195,0.3543,1817.125,0.0025,0.0045,1818,-0.3,-0.5463,1820.875,693.155,1210.8551,1746.875,0.19,0.3457,1819.25,0.04,0.0728,1819.375,0.5,0.9094,1818.75,0.0375,0.1236,3297.125,1.4,5.5309,3950.625,26.035,102.7569,3946.875,117.15,462.6107,3948.875,0.8775,3.4667,3950.625,10.7825,42.5801,3949,0.0075,0.0296,3945.125,-0.6,-2.3691,3948.5,2.915,11.5128,3949.5,-0.25,-0.9868,3947.375,-0.15,-0.5925,3950.25,0.0775,0.3057,3944.5,8.545,28.1985,3300,0.2375,0.2851,1200.5,-0.0025,-0,1.625,0.0025,0,0.5
5.916,17.1,126.4182,7392.875,0.015,0,2,-0.0025,-0,1.625,0,0,0.5,8.0675,37.0923,4597.75,2.4575,4.4312,1803.125,9.4875,9.9903,1053,3.8,3.506,922.625,1.8,0.9086,504.75,-0.015,-0,1.125,0.005,0,1.625,-0.02,-0.0364,1821.5,0,0,1.875,0.5,0.0008,1.625,55.055,71.5233,1299.125,0.08,0.2373,2966.75,8.4775,15.2394,1797.625,-0.0025,-0.0045,1815.375,,,1.5175,2.733,1801,0.035,0.0886,2530.875,4,14.0435,3510.875,0.055,0.1,1818.625,-0.005,-0.0091,1821.5,10798.85,19059.9702,1765,2,3.6372,1818.625,0.2075,0.3773,1818.375,0.0225,0.0409,1818.125,0.35,0.6381,1823.25,692.8375,1209.4345,1745.625,0.1125,0.2045,1818.125,0.0325,0.0591,1819.875,0.9,1.6383,1820.375,-0.0025,-0.0083,3300.125,1.9,7.4976,3946.125,34.4625,135.8899,3943.125,127.85,504.8317,3948.625,0.9075,3.5808,3945.75,10.81,42.6265,3943.25,-0.0025,-0.0099,3943.375,-0.1,-0.3944,3943.625,2.69,10.6174,3947,-0.45,-1.775,3944.5,0.15,0.5922,3948,0.045,0.1775,3945.125,0.45,1.4865,3303.375,0.3125,0.3757,1202.25,0.015,0,1.375,0.0225,0,1.25
6.012,14.745,,7392.25,0.0175,,1,-0.0425,,1.625,-0.045,,2,8.0175,,4601.25,1.695,,1802.375,9.4925,,1052.25,3.25,,922.125,0.95,,504.625,0.015,,1.125,-0.0225,,2,0.0025,,1821.875,0.015,,1.5,0,,0.875,49.7525,,1299,0.0725,,2965,7.7075,,1796.75,0.0275,,1817.375,,,0.7,,1802,0.0125,,2537.625,4.85,,3510.625,0.0325,,1817.625,0.02,,1820.75,10798.55,,1762.375,1.95,,1819.125,0.2375,,1819.875,-0.0075,,1818.875,0.35,,1820.5,691.9225,,1747.75,0.1575,,1819.375,-0.01,,1820.75,0.1,,1820,0,,3298,1.45,,3952.625,29.7125,,3949.375,112.7,,3952.375,0.9175,,3951.625,10.845,,3950.375,0.0775,,3950.125,0.45,,3951.75,3.025,,3950.25,0.5,,3951.625,0.25,,3951.75,0.07,,3947.375,0.24,,3303.125,0.3675,,1200.25,0.0275,,0.75,0.01,,1.75
6.108,13.6825,,7395.125,0,,1,-0.0225,,0.5,-0.0125,,0.25,8.0475,,4600,1.9875,,1803.125,6.735,,1053.75,2.95,,920.25,1.15,,506.25,0.0025,,1.875,0.0375,,0.5,0.0075,,1819.625,0.03,,0.25,0.35,,1.875,46.5875,,1300,0.0175,,2967.5,6.885,,1794.75,0.01,,1816.5,,,1.1425,,1801.75,0.0325,,2536.125,6.75,,3506.5,0.06,,1816.25,0.04,,1820.875,10798.7,,1763.125,2.05,,1819,0.22,,1819.875,0.03,,1817.5,0,,1820.25,692.3775,,1746.625,0.1925,,1819.125,0.0075,,1820.5,0.2,,1816.125,0.03,,3294.375,0.6,,3948.875,29.105,,3949,116.4,,3952.375,0.9125,,3950.75,10.8475,,3947.5,-0.0175,,3951.125,-1.05,,3951.75,3.18,,3951.75,0.7,,3951.125,0.5,,3952.625,-0.0225,,3949.25,0.2875,,3304.125,0.335,,1200,0.015,,0.25,0.0025,,1.125
6.204,14.75,109.0338,7392.125,0.0275,0,0.25,-0.005,-0,1.375,-0.0425,-0.0001,2,8.0025,36.7945,4597.875,1.78,3.2098,1803.25,11.355,11.9625,1053.5,1.95,1.793,919.5,0.1,0.0504,504.375,-0.0025,-0,1.125,0.005,0,1.375,0.005,0.0091,1822.25,-0.015,-0,2.25,-0.1,-0.0001,0.625,52.88,68.6316,1297.875,0.065,0.193,2968.75,7.7,13.8215,1795,0,0,1817.125,,,1.615,2.9084,1800.875,-0.0975,-0.1332,1366.375,4.6,16.146,3510,0.0575,0.1046,1819.375,-0.0025,-0.0046,1820.75,10798.05,19046.4104,1763.875,2.1,3.8191,1818.625,0.1825,0.3316,1817.125,0.06,0.1091,1817.875,-0.2,-0.3638,1819,691.32,1206.5262,1745.25,0.0775,0.141,1819.25,0.02,0.0364,1822.125,0.05,0.091,1819,0.0275,0.0907,3297.875,0.65,2.5675,3950,29.54,116.5944,3947,110.05,434.8488,3951.375,0.855,3.3753,3947.75,10.7575,42.4451,3945.625,0.03,0.1183,3944.75,-0.45,-1.7767,3948.125,3.13,12.3615,3949.375,0.8,3.1587,3948.375,0.65,2.5681,3950.875,0.065,0.2563,3943.375,2.52,8.3236,3303,0.3025,0.3645,1204.875,-0.0075,-0,3.375,0.015,0,0.75
6.3,12.6275,93.3819,7395.125,-0.0125,-0,1.125,-0.0175,-0,0.75,-0.0275,-0.0001,3.25,8.0825,37.1664,4598.375,2.1275,3.838,1804,7.425,7.8362,1055.375,4.2,3.8735,922.25,0.55,0.2782,505.75,0.025,0,1.25,0.0175,0,0.5,0.01,0.0182,1820.375,0.0275,0,1.375,0.05,0.0001,1.625,45.5675,59.2321,1299.875,0.0825,0.2447,2966.5,7.695,13.825,1796.625,-0.01,-0.0182,1815.875,,,4.825,8.6796,1798.875,-0.025,-0.0023,91.375,9.8,34.4017,3510.375,0.0675,0.1228,1819.5,0.0275,0.0501,1821,10797.3,19051.8358,1764.5,2.45,4.4566,1819,0.1675,0.3048,1819.5,0.0475,0.0864,1819.375,0.4,0.7277,1819.125,691.545,1208.7342,1747.875,0.2075,0.3778,1820.625,0.025,0.0455,1821.5,0.1,0.1816,1816.25,0.0125,0.0412,3295,1.3,5.128,3944.625,26.1925,103.3556,3946,126.45,498.9243,3945.625,0.875,3.453,3946.25,11.075,43.6936,3945.25,0.01,0.0395,3947.625,0.15,0.592,3947,2.81,11.0988,3949.75,1.1,4.3366,3942.375,0.3,1.1837,3945.625,0.085,0.3355,3947,4.34,14.3253,3300.75,0.305,0.3682,1207.25,0.015,0,1.625,0.0125,0,1.125
